Relative_Compactness,Surface_Area,Wall_Area,Roof_Area,Overall_Height,Orientation,Glazing_Area,Glazing_Area_Distribution,Heating_Load,Cooling_Load,Total_Load,High_Glazing,Aspect_Ratio,Orientation_enc,GAD_enc
0.98,514.5,294,110.25,7,2,0,0,15.55,21.33,36.88,0,1.27272727272727,0,0
0.98,514.5,294,110.25,7,3,0,0,15.55,21.33,36.88,0,1.27272727272727,1,0
0.98,514.5,294,110.25,7,4,0,0,15.55,21.33,36.88,0,1.27272727272727,2,0
0.98,514.5,294,110.25,7,5,0,0,15.55,21.33,36.88,0,1.27272727272727,3,0
0.9,563.5,318.5,122.5,7,2,0,0,20.84,28.28,49.12,0,1.27777777777778,0,0
0.9,563.5,318.5,122.5,7,3,0,0,21.46,25.38,46.84,0,1.27777777777778,1,0
0.9,563.5,318.5,122.5,7,4,0,0,20.71,25.16,45.87,0,1.27777777777778,2,0
0.9,563.5,318.5,122.5,7,5,0,0,19.68,29.6,49.28,0,1.27777777777778,3,0
0.86,588,294,147,7,2,0,0,19.5,27.3,46.8,0,1.33333333333333,0,0
0.86,588,294,147,7,3,0,0,19.95,21.97,41.92,0,1.33333333333333,1,0
0.86,588,294,147,7,4,0,0,19.34,23.49,42.83,0,1.33333333333333,2,0
0.86,588,294,147,7,5,0,0,18.31,27.87,46.18,0,1.33333333333333,3,0
0.82,612.5,318.5,147,7,2,0,0,17.05,23.77,40.82,0,1.31578947368421,0,0
0.82,612.5,318.5,147,7,3,0,0,17.41,21.46,38.87,0,1.31578947368421,1,0
0.82,612.5,318.5,147,7,4,0,0,16.95,21.16,38.11,0,1.31578947368421,2,0
0.82,612.5,318.5,147,7,5,0,0,15.98,24.93,40.91,0,1.31578947368421,3,0
0.79,637,343,147,7,2,0,0,28.52,37.73,66.25,0,1.3,0,0
0.79,637,343,147,7,3,0,0,29.9,31.27,61.17,0,1.3,1,0
0.79,637,343,147,7,4,0,0,29.63,30.93,60.56,0,1.3,2,0
0.79,637,343,147,7,5,0,0,28.75,39.44,68.19,0,1.3,3,0
0.76,661.5,416.5,122.5,7,2,0,0,24.77,29.79,54.56,0,1.22727272727273,0,0
0.76,661.5,416.5,122.5,7,3,0,0,23.93,29.68,53.61,0,1.22727272727273,1,0
0.76,661.5,416.5,122.5,7,4,0,0,24.77,29.79,54.56,0,1.22727272727273,2,0
0.76,661.5,416.5,122.5,7,5,0,0,23.93,29.4,53.33,0,1.22727272727273,3,0
0.74,686,245,220.5,3.5,2,0,0,6.07,10.9,16.97,0,1.47368421052632,0,0
0.74,686,245,220.5,3.5,3,0,0,6.05,11.19,17.24,0,1.47368421052632,1,0
0.74,686,245,220.5,3.5,4,0,0,6.01,10.94,16.95,0,1.47368421052632,2,0
0.74,686,245,220.5,3.5,5,0,0,6.04,11.17,17.21,0,1.47368421052632,3,0
0.71,710.5,269.5,220.5,3.5,2,0,0,6.37,11.27,17.64,0,1.45,0,0
0.71,710.5,269.5,220.5,3.5,3,0,0,6.4,11.72,18.12,0,1.45,1,0
0.71,710.5,269.5,220.5,3.5,4,0,0,6.366,11.29,17.656,0,1.45,2,0
0.71,710.5,269.5,220.5,3.5,5,0,0,6.4,11.67,18.07,0,1.45,3,0
0.69,735,294,220.5,3.5,2,0,0,6.85,11.74,18.59,0,1.42857142857143,0,0
0.69,735,294,220.5,3.5,3,0,0,6.79,12.05,18.84,0,1.42857142857143,1,0
0.69,735,294,220.5,3.5,4,0,0,6.77,11.73,18.5,0,1.42857142857143,2,0
0.69,735,294,220.5,3.5,5,0,0,6.81,11.93,18.74,0,1.42857142857143,3,0
0.66,759.5,318.5,220.5,3.5,2,0,0,7.18,12.4,19.58,0,1.40909090909091,0,0
0.66,759.5,318.5,220.5,3.5,3,0,0,7.1,12.23,19.33,0,1.40909090909091,1,0
0.66,759.5,318.5,220.5,3.5,4,0,0,7.1,12.4,19.5,0,1.40909090909091,2,0
0.66,759.5,318.5,220.5,3.5,5,0,0,7.1,12.14,19.24,0,1.40909090909091,3,0
0.64,784,343,220.5,3.5,2,0,0,10.85,16.78,27.63,0,1.39130434782609,0,0
0.64,784,343,220.5,3.5,3,0,0,10.54,16.8,27.34,0,1.39130434782609,1,0
0.64,784,343,220.5,3.5,4,0,0,10.77,16.75,27.52,0,1.39130434782609,2,0
0.64,784,343,220.5,3.5,5,0,0,10.56,16.67,27.23,0,1.39130434782609,3,0
0.62,808.5,367.5,220.5,3.5,2,0,0,8.6,12.07,20.67,0,1.375,0,0
0.62,808.5,367.5,220.5,3.5,3,0,0,8.49,12.22,20.71,0,1.375,1,0
0.62,808.5,367.5,220.5,3.5,4,0,0,8.45,12.08,20.53,0,1.375,2,0
0.62,808.5,367.5,220.5,3.5,5,0,0,8.5,12.04,20.54,0,1.375,3,0
0.98,514.5,294,110.25,7,2,0.1,1,24.58,26.47,51.05,0,1.27272727272727,0,1
0.98,514.5,294,110.25,7,3,0.1,1,24.63,26.37,51,0,1.27272727272727,1,1
